Frequency(Hz),IC(Re),IC(-Im)
953.6768,44740.008,1934.757
946.0474,44742.653,1934.871
938.418,44777.593,1990.288
930.7886,44777.055,1970.306
923.1591,44779.716,2019.212
915.5297,44817.867,2020.441
907.9003,44852.826,2043.704
900.2709,44855.505,2009.449
892.6415,44890.475,2071.527
885.0121,44928.654,2068.324
877.3827,44928.145,2059.428
869.7532,44895.356,2080.625
862.1238,44933.553,2120.679
854.4944,44968.549,2131.747
846.865,45006.761,2148.514
839.2356,45006.274,2135.18
831.6062,45044.499,2153.058
823.9768,45008.524,2177.438
816.3473,45082.258,2205.303
808.7179,45081.787,2190.859
801.0885,45120.038,2197.649
793.4591,45119.576,2240.892
785.8297,45157.84,2234.372
778.2003,45160.61,2226.743
770.5709,45160.161,2287.742
762.9414,45198.446,2281.226
755.312,45269.015,2307.832
747.6826,45268.578,2285.619
740.0532,45268.145,2325.54
732.4238,45303.221,2334.394
724.7944,45341.538,2356.73
717.165,45341.118,2341.175
709.5355,45343.94,2372.39
701.9061,45382.277,2390.293
694.2767,45420.623,2414.857
686.6473,45452.487,2399.128
679.0179,45419.822,2439.229
671.3885,45490.451,2425.891
663.7591,45493.31,2446.02
656.1296,45492.924,2450.439
648.5002,45566.824,2506.087
640.8708,45566.446,2466.111
633.2414,45569.328,2497.345
625.612,45604.477,2501.764
617.9826,45642.89,2548.543
610.3532,45678.05,2535.203
602.7237,45716.479,2546.465
595.0943,45716.127,2550.885
587.4649,45754.569,2604.334
579.8355,45789.75,2588.773
572.2061,45824.934,2602.075
564.5767,45827.874,2591.14
556.9473,45863.069,2644.409
549.3178,45901.547,2626.816
541.6884,45936.753,2651.222
534.059,45975.248,2662.496
526.4296,46010.464,2682.463
518.8002,46013.443,2662.65
511.1708,46045.379,2711.295
503.5414,46080.608,2704.615
495.9119,46119.136,2722.557
488.2825,46189.906,2789.16
484.4678,46157.529,2782.688
480.6531,46192.919,2796.004
476.8384,46196.079,2789.532
473.0237,46231.473,2827.28
469.209,46231.333,2802.841
465.3943,46270.037,2807.475
461.5796,46269.899,2794.14
457.7649,46273.07,2829.872
453.9502,46308.474,2807.651
450.1354,46308.34,2834.298
446.3207,46347.059,2836.714
442.506,46346.927,2854.477
438.6913,46385.654,2834.679
434.8766,46385.524,2850.222
431.0619,46424.259,2841.531
427.2472,46424.131,2863.74
423.4325,46424.004,2848.18
419.6178,46498.296,2879.482
415.8031,46533.72,2866.143
411.9884,46536.924,2915.224
408.1737,46572.353,2868.555
404.359,46572.231,2879.657
400.5443,46610.995,2875.411
396.7295,46610.876,2906.513
392.9148,46614.092,2897.825
389.1001,46649.53,2917.818
385.2854,46649.414,2920.033
381.4707,46688.195,2938.014
377.656,46723.639,2915.783
373.8413,46726.869,2913.762
370.0266,46762.318,2913.755
366.2119,46762.207,2944.863
362.3972,46765.443,2920.617
358.5825,46800.898,2942.838
354.7678,46836.353,2942.831
350.9531,46875.163,2963.04
347.1384,46910.623,2940.805
343.3236,46910.519,2945.244
339.5089,46913.773,2949.895
335.6942,46949.239,2985.456
331.8795,46988.067,2967.878
328.0648,46987.968,2978.987
324.2501,47023.439,2972.312
320.4354,47062.279,2994.751
